2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 44 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 44 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 44 launched with AppFuture: <AppFuture at 0x7f137780aba8 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 45 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 45 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 45 launched with AppFuture: <AppFuture at 0x7f137780ada0 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 46 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 46 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 46 launched with AppFuture: <AppFuture at 0x7f137780af98 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 47 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 47 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 47 launched with AppFuture: <AppFuture at 0x7f137780af28 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 48 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 48 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 48 launched with AppFuture: <AppFuture at 0x7f137782a048 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 49 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 49 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 49 launched with AppFuture: <AppFuture at 0x7f137782a278 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 50 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 50 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 50 launched with AppFuture: <AppFuture at 0x7f137782a470 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 51 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 51 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 51 launched with AppFuture: <AppFuture at 0x7f137782a6d8 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 52 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 52 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 52 launched with AppFuture: <AppFuture at 0x7f137782ac88 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 53 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 53 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 53 launched with AppFuture: <AppFuture at 0x7f137782a7b8 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 54 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 54 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 54 launched with AppFuture: <AppFuture at 0x7f137782aba8 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 55 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 55 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 55 launched with AppFuture: <AppFuture at 0x7f13774c5e80 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 56 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 56 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 56 launched with AppFuture: <AppFuture at 0x7f13774c5240 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 57 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 57 launched on executor threads
