,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
32,Press_Equil [hPa],12,DIC [umol/kg],1,xCO2_SW_QF,59,0.0,0.0,phosphate,21,Salinity,29,LONG_DEC_DEGREE,32,20021108WHPSIOdm,3,0.0,0.0,0.0,0.0,XCO2_SST,431,0.0,0.0,PH_TMP,22,xCO2w_ppm,70,0.0,0.0
33,LONG_dec_degree,12,CTD Oxy [umol/kg],1,xCO2_SW_wet,59,0.0,0.0,Equilibrator Pressure [hPa],21,xH2O_equ,27, fCO2_SW@SST_uatm,32,20141205PRINUNIVRMK,3,0.0,0.0,0.0,0.0,MONTH,367,0.0,0.0,PH_TOT,21,Longitude,70,0.0,0.0
34,pCO2_sw[uatm],11,SiO4 [umol/kg],1,fCO2_SW_sat,59,0.0,0.0,nitrate,21,xCO2_atm,27,Press_SEALEVEL_hPa,32,20030224WHPSIOdm,3,0.0,0.0,0.0,0.0,YEAR,367,0.0,0.0,,20,Sal(TSG)_permil,69,0.0,0.0
35,SST [deg.C],11,Water Depth [m],1,xCO2_SW_dry,59,0.0,0.0,Latitude [degN],21,T_sea,27,QC_sub_flag,32,20081215PRINUNIVRMK,3,0.0,0.0,0.0,0.0,DAY,367,0.0,0.0,PH_TOT_FLAG_W,19,QC_SUBFLAG,63,0.0,0.0
36,fCO2_sw[uatm],11,POC [ug/L],1,fCO2_Air_sat,59,0.0,0.0,Pressure_atm [hPa],21,xCO2_equ,27,DATE_UTC__mmddyyyy,31,20140120PRINUNIVRMK,3,0.0,0.0,0.0,0.0,HOUR,257,0.0,0.0,THETA,19,EXPOCODE,31,0.0,0.0
37,Pequ [hPa],11,CTD PAR [uE/m^2/s],1,xCO2_Air_QF,59,0.0,0.0,oxygen [umol/l],21,Sub-flag,27,,27,20140124PRINUNIVRMK,3,0.0,0.0,0.0,0.0,XCO2_AIR_INT,222,0.0,0.0,SECT_ID,19,DATE_YYYYMMDD,19,0.0,0.0
38,Sal,11,Date,1,Licor_Temp,59,0.0,0.0,Longitude [degE],21,Date/Time,27,xCO2_ATM_assigned,21,20061204WHPSIODBK,3,0.0,0.0,0.0,0.0,FCO2_WAT_SST,207,0.0,0.0,NO2+NO3,16,fCO2_FLAG,19,0.0,0.0
39,Patm [hPa],11,Oxy [umol/kg],1,Licor_Atm_Pressure,59,0.0,0.0,fCO2_water_SST_wet [uatm],21,fCO2_sw,27,SAL(TSG)_PERMIL,21,20110115MIRCJHATS,2,0.0,0.0,0.0,0.0,XCO2_AIR_INTERP,205,0.0,0.0,NO2+NO3_FLAG_W,15,SHIP_SPEED_KNOT,18,0.0,0.0
40,TIME_UTC_hh:mm:ss,11,Salt [psu],1,Percent_O2,59,0.0,0.0,wind_dir_true [deg],21,pCO2_sw,27, fCO2_ATM_uatm,21,20130326PRINUNIVRMK,2,0.0,0.0,0.0,0.0,WIND_SPEED,193,0.0,0.0,CHLORA,14,SHIP_HEADING_TRUE_DEGREE,18,0.0,0.0
41,xCO2_equ[umol/mol],11,AlkOnly [umol/kg],1,H2O_SW,59,0.0,0.0,delta pCO2 [uatm],21,T_equ,27,WIND_SPEED_TRUE_M/S,11,20090911PRINUNIVRMK,2,0.0,0.0,0.0,0.0, XCO2_EQ,191,0.0,0.0,CHLORA_FLAG_W,14,WIND_SPEED_TRUE_M/S,18,0.0,0.0
42,Tequ [deg.C],11,Cast No.,1,Atm_Prs,48,0.0,0.0,Longitude,21,fCO2_atm,27, fCO2_ATM_uatm_assigned,11,20070703WHPSIODBK,2,0.0,0.0,0.0,0.0, SST,191,0.0,0.0,CFC-12,12,WATER_FLOW_L/MIN,18,0.0,0.0
43,WindSpd_True [knots],10,Cast Depth [m],1,Wind_Spd,48,0.0,0.0,Eq_Press,20,P_equilib,27,WIND_SPEED_REL_M/S,11,20020829WHPSIOKJU,2,0.0,0.0,0.0,0.0,JD_GMT,183,0.0,0.0,CFC-11,12,WIND_DIR_TRUE_DEGREE,18,0.0,0.0
44,SSS,10,pH,1,Wind_Dir,48,0.0,0.0,fCO2,20,pCO2_atm,27,WIND_DIR_REL_DEGREE,11,20011113WHPSIOKJU,2,0.0,0.0,0.0,0.0,WIND_DIR,178,0.0,0.0,DELC13,12,TEMP_IR_C,18,0.0,0.0
45,Y;M;D;H;Min;lon;lat;NO3+2;SiO3;Sal;Chlorophyll;Pheophytin;TCO2;Alk,9,PhaeTOT [ug/L],1,xCO2_Air,48,0.0,0.0,Atm_xCO2_mean,20,DOY,27,AIR_TEMP_C,11,20150129PRINUNIVRMK,2,0.0,0.0,0.0,0.0,MIN,156,0.0,0.0,DELC13_FLAG_W,11,PRES_IR_hPa,18,0.0,0.0
46,HH,8,Longitude [degrees_east],1,xCO2_Sea,48,0.0,0.0,Atm_xCO2,20,EXPOCODE,27,WIND_DIR_TRUE_DEGREE,11,20091210PRINUNIVRMK,2,0.0,0.0,0.0,0.0,SEC,156,0.0,0.0,CFC-12_FLAG_W,11,GAS_FLOW_IR_ML/MIN,18,0.0,0.0
47,pCO2_atm[uatm],8,CTD Trans [%],1,Atm_Tmp.,48,0.0,0.0,  SST,20,P_atm,27,WATER_FLOW_L/MIN,11,2014121PRINUNIVRMK,2,0.0,0.0,0.0,0.0,FCO2_AIR_INTERP,118,0.0,0.0,CFC-11_FLAG_W,11,QC_FLAG_WATER,17,0.0,0.0
48,DD,8,CTD Temp [deg C],1,pH2O,47,0.0,0.0,Eq_Temp,20,S_sea,27,xCO2_ATM_ppm_assigned,11,20050818WHPSIOSA,2,0.0,0.0,0.0,0.0,QC_FLAG_W,118,0.0,0.0,DOC,10,WIND_DIR_REL_DEGREE,17,0.0,0.0
49,DAY_OF_YEAR,8,ChlTOT [mg/m^3],1,Serial No.,45,0.0,0.0,Atm_Pressure,20,WOCE QC flag,27,SHIP_SPEED_KNOT,11,20081126PRINUNIVRMK,2,0.0,0.0,0.0,0.0,PCO2_WAT,116,0.0,0.0,MONTH,9,QC_FLAG_AIR,17,0.0,0.0
